run_number,duration_ms
1,47252
2,47126
3,46010
4,47798
5,46065
6,46254
7,45907
8,48477
9,47672
10,47711
11,48151
12,47074
13,47647
14,46653
15,48197
16,47391
17,47612
18,48095
19,46765
20,46974
21,46884
22,46279
23,48815
24,47539
25,47520
26,47487
27,47315
28,46186
29,47260
30,47449
31,46964
32,46502
33,47378
34,46656
35,48400
36,47452
37,46396
38,47802
39,46137
40,48511
41,45127
42,47740
43,47289
44,46799
45,46840
46,47156
47,47117
48,48189
49,48196
50,47416
51,48376
52,46615
53,46121
54,47671
55,46953
56,47652
57,44806
58,47312
59,47156
60,45921
61,47162
62,46689
63,47147
64,47073
65,46973
66,46255
67,47428
68,48323
69,48191
70,46283
71,48582
72,46544
73,47604
74,47849
75,47473
76,47225
77,48081
78,47886
79,48183
80,46389
81,46494
82,46021
83,45402
84,46344
85,46803
86,48259
87,47410
88,47407
89,47046
90,46090
91,47145
92,49692
93,47564
94,47073
95,48069
96,46320
97,46999
98,47235
99,46901
100,47054
101,46464
102,48020
103,47030
104,46502
105,46078
106,47243
107,47728
108,47640
109,45470
110,47371
111,47236
112,46592
113,48199
114,45900
115,46689
116,46216
117,48274
118,47501
119,46992
120,47690
121,46636
122,47373
123,48475
124,47219
125,46636
126,47647
127,47033
128,48026
129,47798
130,48540
131,47390
132,46717
133,46443
134,47360
135,46169
136,49718
137,47387
138,47004
139,46226
140,46400
141,47310
142,46445
143,47758
144,48138
145,46639
146,47463
147,47430
148,46324
149,47948
150,47247
151,46545
152,47819
153,48436
154,47485
155,46442
156,47811
157,48631
158,46492
159,46128
160,47153
161,48768
162,47118
163,45394
164,47958
165,44818
166,44829
167,47521
168,45896
169,48715
170,47427
171,46652
172,46182
173,47317
174,45865
175,46643
176,47616
177,48033
178,46332
179,46635
180,46974
181,47040
182,48297
183,47097
184,46930
185,47563
186,46821
187,47760
188,47132
189,48335
190,48052
191,46397
192,46295
193,46585
194,48051
195,49439
196,45442
197,47587
198,47006
199,46749
200,46164
201,46553
202,47031
203,45382
204,45842
205,45342
206,49357
207,45381
208,47064
209,47651
210,48175
211,47718
212,48585
213,47530
214,47164
215,47110
216,48069
217,45526
218,47441
219,48123
220,46290
221,48495
222,47360
223,46144
224,45748
225,47202
226,46482
227,48948
228,47445
229,47911
230,46975
231,47604
232,48960
233,47294
234,45628
235,45443
236,46477
237,46013
238,47189
239,46734
240,47642
241,46531
242,48051
243,44681
244,46744
245,48214
246,46106
247,46583
248,46068
249,46413
250,48071
251,46721
252,46958
253,48690
254,48703
255,47660
256,47100
257,46747
258,48988
259,47608
260,48189
261,47048
262,48244
263,48860
264,47015
265,47007
266,45723
267,47707
