run_number,duration_ms
1,20313
2,20301
3,20254
4,20279
5,20295
6,20262
7,20248
8,20237
9,20242
10,20266
11,20232
12,20246
13,20267
14,20238
15,20232
16,20237
17,20255
18,20253
19,20244
20,20246
21,20216
22,20255
23,20225
24,20243
25,20228
26,20230
27,20250
28,20261
29,20235
30,20241
31,20249
32,20225
33,20239
34,20252
35,20233
36,20258
37,20251
38,20245
39,20232
40,20235
41,20259
42,20229
43,20246
44,20250
45,20281
46,20247
47,20243
48,20241
49,20236
50,20233
51,20166
52,20259
53,20222
54,20254
55,20239
56,20241
57,20271
58,20242
59,20243
60,20241
61,20243
62,20177
63,20225
64,20245
65,20244
66,20267
67,20246
68,20214
69,20237
70,20250
71,20245
72,20264
73,20282
74,20263
75,20240
76,20236
77,20249
78,20257
79,20249
80,20248
81,20248
82,20255
83,20241
84,20269
85,20267
86,20228
87,20264
88,20148
89,20253
90,20248
91,20244
92,20244
93,20287
94,20248
95,20269
96,20237
97,20243
98,20246
99,20244
100,20237
101,20238
102,20287
103,20248
104,20241
105,20242
106,20233
107,20237
108,20232
109,20138
110,20233
111,20247
112,20241
113,20230
114,20257
115,20275
116,20284
117,20249
118,20229
119,20293
120,20210
121,20225
122,20270
123,20237
124,20231
125,20206
126,20252
127,20241
128,20265
129,20238
130,20235
131,20279
132,20232
133,20236
134,20273
135,20252
136,20239
137,20220
138,20253
139,20242
140,20242
141,20242
142,20242
143,20272
144,20246
145,20230
146,20263
147,20247
148,20243
149,20248
150,20264
151,20242
152,20232
153,20197
154,20255
155,20251
156,20223
157,20217
158,20241
159,20245
160,20258
161,20246
162,20244
163,20256
164,20255
165,20232
166,20215
167,20268
168,20239
169,20268
170,20253
171,20279
172,20226
173,20253
174,20240
175,20272
176,20255
177,20189
178,20179
179,20230
180,20236
181,20247
182,20261
183,20242
184,20240
185,20234
186,20229
187,20266
188,20242
189,20248
190,20245
191,20246
192,20227
193,20260
194,20245
195,20244
196,20239
197,20265
198,20257
199,20242
200,20213
201,20225
202,20245
203,20254
204,20296
205,20250
206,20246
207,20301
208,20236
209,20229
210,20231
211,20225
212,20241
213,20270
214,20246
215,20237
216,20270
217,20237
218,20243
219,20269
220,20258
221,20233
222,20272
223,20265
224,20275
225,20270
226,20276
227,20241
228,20212
229,20244
230,20247
231,20258
232,20240
233,20245
234,20245
235,20237
236,20218
237,20258
238,20254
239,20254
240,20238
241,20242
242,20230
243,20261
244,20246
245,20219
246,20244
247,20240
248,20277
249,20237
250,20239
251,20251
252,20274
253,20224
254,20255
255,20235
256,20234
257,20229
258,20261
259,20238
260,20263
261,20240
262,20245
263,20279
264,20265
265,20247
266,20243
267,20232
268,20228
269,20236
270,20243
271,20236
272,20237
273,20252
274,20231
275,20225
276,20155
277,20232
278,20246
279,20237
280,20231
281,20238
282,20243
283,20255
284,20233
285,20251
286,20227
287,20271
288,20248
289,20225
290,20263
291,20241
292,20289
293,20261
294,20248
295,20257
296,20234
297,20232
298,20281
299,20244
300,20274
301,20237
302,20252
303,20233
304,20272
305,20239
306,20233
307,20272
308,20239
309,20129
310,20212
311,20259
312,20230
313,20181
314,20104
315,20112
316,20185
317,20251
318,20230
319,20182
320,20106
321,20135
322,20175
323,20191
324,20237
325,20254
326,20255
327,20228
328,20238
329,20242
330,20234
331,20226
332,20196
333,20170
334,20261
335,20266
336,20256
337,20252
338,20237
339,20260
340,20239
341,20242
342,20272
343,20236
344,20216
345,20282
346,20249
347,20246
348,20266
349,20219
350,20238
351,20230
352,20245
353,20269
354,20261
355,20266
356,20258
357,20244
358,20118
359,20162
360,20157
361,20223
362,20202
363,20235
364,20237
365,20261
366,20274
367,20242
368,20264
369,20276
370,20245
371,20231
372,20253
373,20232
374,20270
375,20239
376,20256
377,20312
378,20270
379,20226
380,20264
381,20277
382,20241
383,20268
384,20233
385,20244
386,20262
387,20259
388,20231
389,20270
390,20189
391,20272
392,20241
393,20260
394,20241
395,20217
396,20278
397,20228
398,20243
399,20241
400,20242
401,20255
402,20219
403,20243
404,20278
405,20234
406,20244
407,20245
408,20206
409,20254
410,20273
411,20254
412,20262
413,20269
414,20244
415,20232
416,20268
417,20227
418,20263
419,20233
420,20263
421,20294
422,20239
423,20235
424,20250
425,20254
426,20222
427,20240
428,20266
429,20231
430,20237
431,20248
432,20226
433,20286
434,20234
435,20249
436,20267
437,20248
438,20230
439,20238
440,20246
441,20172
442,20168
443,20215
444,20258
445,20266
446,20231
447,20251
448,20236
449,20253
450,20213
451,20263
452,20260
453,20248
454,20263
455,20240
456,20232
457,20259
458,20241
459,20219
460,20266
461,20255
462,20295
463,20253
464,20236
465,20261
466,20239
467,20241
468,20296
469,20236
470,20246
471,20266
472,20272
473,20230
474,20246
475,20262
476,20236
477,20231
478,20255
479,20230
480,20270
481,20249
482,20233
483,20245
484,20235
485,20245
486,20238
487,20249
488,20238
489,20252
490,20221
491,20242
492,20267
493,20240
494,20239
495,20246
496,20252
497,20249
498,20235
499,20237
500,20244
501,20240
502,20171
503,20189
504,20243
505,20241
506,20263
507,20257
508,20229
509,20271
510,20144
511,20241
512,20251
513,20156
514,20217
515,20278
516,20272
517,20234
518,20276
519,20235
520,20250
521,20239
522,20266
523,20239
524,20266
525,20252
526,20243
527,20251
528,20249
529,20231
530,20252
531,20257
532,20236
533,20165
534,20245
535,20247
536,20268
537,20230
538,20102
539,20258
540,20235
541,20238
542,20242
543,20241
544,20250
545,20263
546,20252
547,20261
548,20249
549,20237
550,20260
551,20267
552,20254
553,20287
554,20228
555,20245
556,20258
557,20221
558,20179
559,20281
560,20238
561,20245
562,20264
563,20265
564,20281
565,20290
566,20224
567,20239
568,20270
