run_number,duration_ms
1,30565
2,30638
3,30557
4,30588
5,30561
6,30576
7,30560
8,30601
9,30588
10,30578
11,30551
12,30559
13,30531
14,30558
15,30510
16,30428
17,30484
18,30374
19,30371
20,30467
21,30522
22,30574
23,30571
24,30579
25,30558
26,30566
27,30556
28,30572
29,30579
30,30565
31,30570
32,30579
33,30518
34,30545
35,30529
36,30553
37,30436
38,30296
39,30308
40,30543
41,30492
42,30449
43,30557
44,30505
45,30492
46,30463
47,30458
48,30504
49,30537
50,30515
51,30539
52,30523
53,30525
54,30513
55,30539
56,30560
57,30547
58,30491
59,30535
60,30529
61,30527
62,30483
63,30472
64,30399
65,30499
66,30497
67,30469
68,30316
69,30285
70,30286
71,30323
72,30254
73,30272
74,30363
75,30494
76,30474
77,30494
78,30484
79,30332
80,30469
81,30431
82,30448
83,30417
84,30407
85,30460
86,30449
87,30280
88,30263
89,30375
90,30456
91,30422
92,30297
93,30385
94,30390
95,30255
96,30270
97,30413
98,30420
99,30426
100,30517
101,30507
102,30458
103,30330
104,30444
105,30492
106,30527
107,30407
108,30450
109,30424
110,30517
111,30426
112,30382
113,30324
114,30498
115,30558
116,30536
117,30559
118,30538
119,30527
120,30528
121,30540
122,30544
123,30562
124,30563
125,30523
126,30527
127,30330
128,30288
129,30422
130,30518
131,30384
132,30415
133,30489
134,30302
135,30525
136,30440
137,30532
138,30557
139,30457
140,30466
141,30525
142,30330
143,30569
144,30457
145,30553
146,30403
147,30354
148,30281
149,30502
150,30424
151,30481
152,30455
153,30281
154,30327
155,30477
156,30445
157,30422
158,30397
159,30470
160,30376
161,30405
162,30463
163,30463
164,30489
165,30407
166,30474
167,30486
168,30456
169,30479
170,30412
171,30456
172,30498
173,30466
174,30464
175,30401
176,30444
177,30459
178,30420
179,30297
180,30490
181,30387
182,30286
183,30445
184,30479
185,30475
186,30350
187,30401
188,30355
189,30482
190,30318
191,30379
192,30487
193,30499
194,30458
195,30478
196,30481
197,30467
198,30500
199,30366
200,30419
201,30479
202,30475
203,30271
204,30340
205,30320
206,30381
207,30304
208,30384
209,30443
210,30468
211,30455
212,30430
213,30470
214,30540
215,30360
216,30379
217,30425
218,30377
219,30391
220,30490
221,30364
222,30461
223,30535
224,30543
225,30535
226,30364
227,30443
228,30578
229,30538
230,30499
231,30552
232,30524
233,30536
234,30506
235,30558
236,30481
237,30361
238,30392
239,30489
240,30498
241,30502
242,30564
243,30517
244,30545
245,30548
246,30425
247,30319
248,30372
249,30310
250,30443
251,30381
252,30428
253,30492
254,30490
255,30489
256,30532
257,30331
258,30449
259,30536
260,30478
261,30288
262,30458
263,30357
264,30338
265,30463
266,30439
267,30457
268,30409
269,30461
270,30474
271,30486
272,30436
273,30479
274,30425
275,30340
276,30488
277,30389
278,30465
279,30468
280,30459
281,30489
282,30303
283,30395
284,30434
285,30479
286,30431
287,30461
288,30430
289,30438
290,30303
291,30266
292,30295
293,30369
294,30468
295,30473
296,30422
297,30332
298,30381
299,30390
300,30333
301,30403
302,30453
303,30465
304,30559
305,30475
306,30417
307,30461
308,30363
309,30526
310,30401
311,30420
312,30483
313,30472
314,30525
315,30531
316,30408
317,30462
318,30513
319,30536
320,30354
321,30390
322,30519
323,30528
324,30549
325,30558
326,30506
327,30572
328,30546
329,30496
330,30527
331,30449
332,30354
333,30522
334,30401
335,30434
336,30448
337,30370
338,30476
339,30480
340,30500
341,30445
342,30475
343,30484
344,30387
345,30438
346,30370
347,30370
348,30372
349,30388
350,30350
351,30257
352,30459
353,30463
354,30409
355,30431
356,30231
357,30440
358,30476
359,30462
360,30435
361,30362
362,30383
363,30452
364,30469
365,30502
366,30512
367,30493
368,30483
369,30530
370,30246
371,30246
372,30253
373,30404
374,30501
375,30516
376,30404
377,30296
378,30438
379,30461
380,30541
381,30509
382,30326
383,30530
384,30502
385,30340
386,30468
387,30538
388,30385
389,30520
390,30398
391,30494
392,30520
393,30535
394,30564
395,30552
396,30510
397,30437
398,30382
399,30430
400,30562
401,30528
402,30347
403,30474
404,30530
405,30447
406,30412
407,30355
408,30447
409,30544
410,30554
411,30541
412,30554
413,30504
414,30526
415,30540
416,30522
417,30506
418,30509
419,30527
420,30548
421,30491
422,30472
423,30442
424,30510
425,30446
426,30444
427,30340
428,30394
429,30506
430,30468
431,30495
432,30488
433,30503
434,30308
435,30314
436,30413
437,30335
438,30395
439,30364
440,30526
441,30411
442,30439
443,30452
444,30430
445,30475
446,30478
447,30461
448,30383
449,30483
450,30384
451,30424
452,30300
453,30295
454,30317
455,30266
456,30265
457,30255
458,30309
459,30390
460,30411
461,30414
462,30395
463,30471
464,30389
465,30433
466,30428
467,30403
468,30464
469,30404
470,30428
471,30462
472,30484
473,30436
474,30397
475,30406
476,30407
477,30404
478,30412
479,30449
480,30473
481,30476
482,30466
483,30484
484,30434
485,30412
486,30346
487,30349
488,30252
489,30378
490,30550
491,30504
492,30493
493,30527
494,30441
495,30413
496,30519
497,30555
498,30436
499,30479
500,30456
501,30493
502,30393
503,30380
504,30476
505,30537
506,30348
507,30548
508,30405
509,30386
510,30470
511,30493
512,30397
513,30483
514,30517
515,30479
516,30474
517,30507
518,30561
519,30465
520,30542
521,30447
522,30490
523,30541
524,30474
525,30409
526,30487
527,30414
528,30467
529,30361
530,30501
531,30491
532,30503
533,30416
534,30461
535,30347
536,30454
537,30462
538,30384
539,30449
540,30531
541,30529
542,30514
543,30468
544,30475
545,30471
546,30477
547,30456
548,30375
549,30452
550,30457
551,30481
552,30461
553,30364
554,30209
555,30367
556,30477
557,30495
558,30465
559,30438
560,30386
561,30421
562,30341
563,30475
564,30393
565,30477
566,30475
567,30471
568,30485
569,30461
570,30494
571,30429
572,30488
573,30465
