run_number,duration_ms
1,20306
2,20266
3,20253
4,20258
5,20277
6,20234
7,20271
8,20290
9,20238
10,20286
11,20237
12,20233
13,20241
14,20246
15,20252
16,20243
17,20228
18,20244
19,20245
20,20227
21,20234
22,20259
23,20234
24,20246
25,20259
26,20234
27,20236
28,20263
29,20254
30,20245
31,20235
32,20240
33,20235
34,20212
35,20236
36,20264
37,20266
38,20239
39,20265
40,20122
41,20237
42,20241
43,20250
44,20134
45,20270
46,20242
47,20245
48,20278
49,20238
50,20240
51,20275
52,20238
53,20237
54,20255
55,20236
56,20256
57,20271
58,20244
59,20198
60,20258
61,20238
62,20242
63,20285
64,20257
65,20241
66,20279
67,20273
68,20272
69,20268
70,20242
71,20240
72,20250
73,20241
74,20292
75,20267
76,20218
77,20274
78,20254
79,20240
80,20250
81,20257
82,20232
83,20250
84,20237
85,20268
86,20259
87,20264
88,20243
89,20258
90,20235
91,20248
92,20270
93,20269
94,20245
95,20239
96,20263
97,20266
98,20262
99,20242
100,20120
101,20240
102,20262
103,20263
104,20283
105,20247
106,20240
107,20274
108,20244
109,20245
110,20139
111,20258
112,20235
113,20231
114,20247
115,20248
116,20258
117,20241
118,20269
119,20235
120,20237
121,20276
122,20260
123,20240
124,20249
125,20271
126,20233
127,20258
128,20255
129,20246
130,20275
131,20267
132,20249
133,20286
134,20244
135,20259
136,20240
137,20247
138,20244
139,20269
140,20242
141,20209
142,20275
143,20276
144,20238
145,20240
146,20188
147,20144
148,20299
149,20267
150,20258
151,20226
152,20258
153,20221
154,20246
155,20251
156,20229
157,20241
158,20227
159,20240
160,20244
161,20242
162,20252
163,20239
164,20242
165,20265
166,20195
167,20240
168,20297
169,20243
170,20216
171,20276
172,20243
173,20238
174,20282
175,20269
176,20217
177,20244
178,20248
179,20241
180,20253
181,20254
182,20242
183,20253
184,20247
185,20244
186,20279
187,20240
188,20246
189,20255
190,20250
191,20229
192,20294
193,20259
194,20250
195,20258
196,20241
197,20262
198,20257
199,20255
200,20252
201,20242
202,20261
203,20262
204,20242
205,20262
206,20308
207,20267
208,20248
209,20281
210,20265
211,20244
212,20308
213,20268
214,20223
215,20273
216,20234
217,20247
218,20262
219,20277
220,20253
221,20267
222,20196
223,20240
224,20270
225,20247
226,20220
227,20156
228,20236
229,20236
230,20225
231,20241
232,20243
233,20253
234,20255
235,20242
236,20256
237,20215
