run_number,duration_ms
1,23826
2,24165
3,24726
4,24293
5,24289
6,24276
7,24834
8,24872
9,24996
10,23971
11,23537
12,23684
13,24070
14,24074
15,24512
16,24010
17,24225
18,25003
19,23836
20,24064
21,24878
22,24452
23,25112
24,23856
25,23779
26,24673
27,25361
28,25227
29,24430
30,24060
31,23863
32,23415
33,24048
34,24816
35,23896
36,23907
37,24733
38,23414
39,25025
40,25109
41,24320
42,24189
43,24803
44,24241
45,24255
46,23697
47,24430
48,25271
49,24748
50,23963
51,24431
52,24106
53,23612
54,23757
55,24341
56,24212
57,24314
58,24506
59,24331
60,24117
61,24684
62,23524
63,23902
64,23509
65,24627
66,23608
67,24467
68,24433
69,24456
70,25193
71,23994
72,23995
73,24424
74,24366
75,24058
76,24003
77,24417
78,23541
79,23869
80,24692
81,24746
82,24079
83,24178
84,24215
85,24624
86,24428
87,24873
88,24384
89,23587
90,24166
91,23959
92,24535
93,25156
94,24655
95,25202
96,24989
97,23679
98,23657
99,25050
100,24773
101,24134
102,24908
103,23752
104,23560
105,24153
106,25058
107,23617
108,23533
109,24666
110,24275
111,24307
112,23968
113,25072
114,24151
115,25086
116,25078
117,25166
118,24672
119,24256
120,24147
121,24450
122,24464
123,24017
124,24588
125,24994
126,25016
127,24094
128,24870
129,23846
130,23670
131,23925
132,24075
133,25536
134,24369
135,23985
136,24624
137,23421
138,25186
139,24082
140,23671
141,24875
142,24738
143,23743
144,23577
145,24113
146,24274
147,24527
148,24459
149,24122
150,24520
151,24356
152,24163
153,24624
154,24508
155,23966
156,24375
157,24451
158,23929
159,24218
160,24525
161,23927
162,24864
163,24222
164,24194
165,24299
166,24634
167,24500
168,24415
169,23915
170,24269
171,23615
172,24550
173,24352
174,24421
175,24016
176,24730
177,24704
178,24319
179,24490
180,24551
181,24496
182,24692
183,24359
184,25069
185,25150
186,24329
187,24685
188,24022
189,24968
190,24792
191,24896
192,23275
193,24130
194,24889
195,25140
196,23621
197,24683
198,24640
199,24848
200,23978
201,24235
202,24694
203,24411
204,23682
205,24223
206,23907
207,23529
208,23833
209,24707
210,23854
211,24214
212,23722
213,24029
214,24220
215,24601
216,23713
217,24574
218,24985
219,24965
220,24490
221,23787
222,24383
223,24267
224,24911
225,24367
226,24198
227,24623
228,25891
229,24318
230,24166
231,23637
232,24621
233,24067
234,25172
235,23952
236,23526
237,24472
238,24214
239,24441
