run_number,duration_ms
1,35433
2,35264
3,35241
4,35243
5,35389
6,35266
7,35325
8,35239
9,35334
10,35367
11,35359
12,35356
13,35384
14,35368
15,35366
16,35200
17,35324
18,35382
19,35358
20,35346
21,35264
22,35389
23,35337
24,35349
25,35184
26,35395
27,35420
28,35251
29,35373
30,35313
31,35334
32,35338
33,35250
34,35209
35,35377
36,35323
37,35322
38,35229
39,35369
40,35256
41,35404
42,35335
43,35298
44,35383
45,35385
46,35251
47,35382
48,35366
49,35245
50,35254
51,35253
52,35268
53,35390
54,35275
55,35250
56,35179
57,35376
58,35204
59,35345
60,35266
61,35352
62,35369
63,35362
64,35347
65,35222
66,35313
67,35391
68,35367
69,35225
70,35372
71,35254
72,35406
73,35335
74,35401
75,35406
76,35252
77,35293
78,35344
79,35433
80,35389
81,35371
82,35354
83,35271
84,35328
85,35303
86,35218
87,35324
88,35208
89,35188
90,35317
91,35263
92,35364
93,35360
94,35343
95,35195
96,35229
97,35191
98,35252
99,35253
100,35371
101,35228
102,35329
103,35377
104,35138
105,35300
106,35292
107,35336
108,35383
109,35324
110,35374
111,35219
112,35370
113,35211
114,35356
115,35462
116,35359
117,35252
118,35347
119,35222
120,35234
121,35232
122,35326
123,35354
124,35232
125,35269
126,35374
127,35426
128,35258
129,35230
130,35249
131,35243
132,35342
133,35387
134,35279
135,35215
136,35341
137,35332
138,35396
139,35319
140,35250
141,35383
142,35348
143,35383
144,35217
145,35379
146,35257
147,35254
148,35355
149,35213
150,35204
151,35329
152,35218
153,35364
154,35218
155,35341
156,35252
157,35391
158,35379
159,35261
160,35395
161,35254
162,35380
163,35374
164,35356
165,35248
166,35262
167,35347
168,35363
169,35319
170,35331
171,35354
172,35204
173,35380
174,35347
175,35256
176,35193
177,35195
178,35386
179,35300
180,35293
181,35373
182,35383
183,35261
184,35234
185,35408
186,35319
187,35288
188,35321
189,35183
190,35336
191,35232
192,35378
193,35351
194,35367
195,35337
196,35198
197,35191
198,35373
199,35371
200,35383
201,35401
202,35346
203,35334
204,35244
205,35333
206,35230
207,35322
208,35327
209,35263
210,35345
211,35299
212,35219
213,35325
214,35254
215,35339
216,35248
217,35389
218,35169
219,35250
220,35388
221,35232
222,35400
223,35240
224,35209
225,35227
226,35244
227,35435
228,35298
229,35271
230,35259
231,35386
232,35254
233,35234
234,35406
235,35238
236,35353
237,35353
238,35223
239,35264
240,35368
241,35233
242,35418
243,35273
244,35223
245,35371
246,35353
247,35399
248,35274
249,35396
250,35323
251,35388
252,35330
253,35344
254,35232
255,35340
256,35212
257,35237
258,35371
259,35358
260,35292
261,35389
262,35235
263,35190
264,35334
265,35222
266,35375
267,35349
268,35290
269,35278
270,35390
271,35360
272,35344
273,35215
274,35272
275,35209
276,35243
277,35351
278,35263
279,35386
280,35357
281,35228
282,35212
283,35200
284,35227
285,35233
286,35276
287,35364
288,35258
289,35338
290,35308
291,35290
292,35204
293,35177
294,35335
295,35375
296,35315
297,35222
298,35386
299,35354
300,35359
301,35327
302,35407
303,35378
304,35330
305,35342
306,35302
307,35345
308,35185
309,35242
310,35234
311,35265
312,35329
313,35323
314,35355
315,35367
316,35304
317,35166
318,35244
319,35351
320,35368
321,35362
322,35260
323,35250
324,35349
325,35351
326,35210
327,35248
328,35241
329,35257
330,35232
331,35244
332,35200
333,35208
334,35220
335,35403
336,35264
337,35287
338,35344
339,35347
340,35381
341,35228
342,35263
343,35348
344,35365
345,35302
346,35375
347,35390
348,35160
349,35240
350,35360
351,35321
352,35331
353,35270
354,35346
355,35313
356,35290
357,35417
358,35397
359,35282
360,35337
361,35232
362,35404
363,35405
364,35309
365,35216
366,35249
367,35217
368,35382
369,35271
370,35293
371,35345
372,35324
373,35242
374,35380
375,35382
376,35393
377,35257
378,35243
379,35316
380,35376
381,35358
382,35244
383,35253
384,35341
385,35220
386,35316
387,35206
388,35261
389,35420
390,35367
391,35309
392,35299
393,35252
394,35342
395,35378
396,35308
397,35325
398,35398
399,35419
400,35277
401,35269
402,35267
403,35431
404,35132
405,35195
406,35319
407,35222
408,35272
409,35333
410,35219
411,35198
412,35344
413,35233
414,35363
415,35320
416,35319
417,35395
418,35329
419,35323
420,35287
421,35378
422,35245
423,35350
424,35219
425,35275
426,35317
427,35287
428,35396
429,35277
430,35399
431,35254
432,35233
433,35333
434,35364
435,35328
436,35330
437,35212
438,35389
439,35243
440,35328
441,35224
442,35282
443,35347
444,35262
445,35349
446,35379
447,35393
448,35364
449,35381
450,35391
451,35229
452,35211
453,35348
454,35349
455,35230
456,35334
457,35421
458,35261
459,35290
460,35414
461,35223
462,35347
463,35361
464,35222
465,35428
466,35394
467,35267
468,35311
469,35402
470,35395
471,35256
472,35320
473,35416
474,35285
475,35289
476,35378
477,35390
478,35222
479,35323
480,35353
481,35253
482,35384
483,35338
484,35384
485,35363
486,35395
487,35359
488,35422
489,35355
490,35394
491,35382
492,35278
493,35149
494,35340
495,35356
496,35339
497,35317
498,35254
499,35269
500,35162
501,35394
502,35333
503,35279
504,35312
505,35260
506,35303
507,35365
508,35377
509,35374
510,35394
511,35395
512,35295
513,35339
514,35333
515,35396
516,35422
517,35170
518,35210
519,35261
520,35219
521,35301
522,35371
523,35306
524,35213
525,35373
526,35200
527,35396
528,35411
529,35358
530,35341
531,35283
532,35286
533,35342
534,35279
535,35228
536,35254
537,35273
538,35410
539,35355
540,35218
541,35200
542,35399
543,35272
544,35202
545,35428
546,35368
547,35388
548,35293
549,35363
550,35251
551,35386
552,35223
553,35236
554,35316
555,35193
556,35390
557,35422
558,35387
559,35349
560,35382
561,35393
562,35337
563,35251
564,35308
565,35203
566,35213
567,35325
568,35327
569,35372
570,35399
571,35334
572,35351
573,35332
574,35422
575,35320
576,35402
577,35412
578,35227
579,35219
580,35235
581,35336
582,35211
583,35360
584,35354
585,35365
586,35368
587,35261
588,35277
589,35269
590,35390
591,35210
592,35365
593,35382
594,35254
595,35303
596,35428
597,35346
598,35246
599,35374
600,35304
601,35319
602,35320
603,35420
604,35309
605,35199
606,35258
607,35395
608,35211
609,35370
610,35314
611,35352
612,35198
613,35403
614,35308
615,35391
616,35191
617,35398
618,35205
619,35241
620,35219
621,35309
622,35377
623,35408
624,35312
625,35303
