run_number,duration_ms
1,40760
2,40686
3,40659
4,40655
5,40635
6,40599
7,40612
8,40637
9,40702
10,40639
11,40615
12,40645
13,40622
14,40648
15,40614
16,40674
17,40608
18,40675
19,40625
20,40594
21,40606
22,40669
23,40687
24,40620
25,40683
26,40611
27,40650
28,40637
29,40709
30,40656
31,40617
32,40681
33,40597
34,40580
35,40698
36,40612
37,40619
38,40679
39,40621
40,40601
41,40681
42,40600
43,40527
44,40630
45,40425
46,40652
47,40619
48,40578
49,40601
50,40670
51,40612
52,40590
53,40484
54,40349
55,40589
56,40666
57,40620
58,40646
59,40615
60,40619
61,40664
62,40567
63,40666
64,40606
65,40610
66,40640
67,40608
68,40639
69,40661
70,40611
71,40661
72,40602
73,40676
74,40605
75,40679
76,40611
77,40594
78,40567
79,40614
80,40643
81,40612
82,40670
83,40612
84,40662
85,40582
86,40609
87,40661
88,40611
89,40615
90,40594
91,40636
92,40534
93,40574
94,40696
95,40609
96,40600
97,40660
98,40595
99,40661
100,40596
101,40672
102,40622
103,40647
104,40590
105,40611
106,40642
107,40619
108,40608
109,40664
110,40611
111,40601
112,40656
113,40613
114,40652
115,40616
116,40672
117,40613
118,40662
119,40670
120,40595
121,40643
122,40595
123,40575
124,40648
125,40642
126,40583
127,40603
128,40665
129,40581
130,40559
131,40653
132,40591
133,40606
134,40683
135,40583
136,40589
137,40679
138,40598
139,40642
140,40607
141,40656
142,40577
143,40542
144,40701
145,40605
146,40602
147,40698
148,40596
149,40675
150,40609
151,40605
152,40644
153,40618
154,40599
155,40607
156,40653
157,40584
158,40605
159,40586
160,40662
161,40613
162,40646
163,40549
164,40563
165,40672
166,40609
167,40656
168,40621
169,40568
170,40644
171,40706
172,40704
173,40624
174,40687
175,40628
176,40632
177,40625
178,40695
179,40616
180,40665
181,40588
182,40603
183,40602
184,40670
185,40598
186,40632
187,40604
188,40597
189,40605
190,40654
191,40620
192,40656
193,40623
194,40630
195,40616
196,40606
197,40581
198,40644
199,40629
200,40587
201,40639
202,40619
203,40630
204,40600
205,40656
206,40629
207,40613
208,40693
209,40603
210,40634
211,40613
212,40332
213,40604
214,40603
215,40577
216,40675
217,40618
218,40594
219,40678
220,40610
221,40671
222,40426
223,40481
224,40605
225,40625
226,40593
227,40669
228,40569
229,40543
230,40670
231,40543
232,40590
233,40659
234,40600
235,40623
236,40659
237,40633
238,40673
239,40617
240,40667
241,40604
242,40678
243,40620
244,40679
245,40581
246,40651
247,40626
248,40667
249,40590
250,40620
251,40624
252,40634
253,40624
254,40614
255,40690
256,40563
257,40640
258,40593
259,40624
260,40621
261,40629
262,40631
263,40599
264,40683
265,40622
266,40599
267,40622
268,40582
269,40588
270,40597
271,40660
272,40595
273,40683
274,40616
275,40600
276,40624
277,40634
278,40673
279,40605
280,40580
281,40568
282,40664
283,40610
284,40664
285,40605
286,40682
287,40633
288,40606
289,40614
290,40604
291,40655
292,40596
293,40657
294,40614
295,40669
296,40621
297,40679
298,40655
299,40714
300,40618
301,40605
302,40662
303,40605
304,40612
305,40619
306,40607
307,40656
308,40646
309,40609
310,40584
311,40647
312,40597
313,40608
314,40666
315,40599
316,40594
317,40600
318,40585
319,40650
320,40466
321,40590
322,40625
323,40476
324,40669
325,40621
326,40650
327,40616
328,40658
329,40644
330,40655
331,40631
332,40626
333,40671
334,40620
335,40677
336,40597
337,40614
338,40615
339,40609
340,40606
341,40479
342,40672
343,40557
344,40667
345,40609
346,40555
347,40626
348,40654
349,40634
350,40559
351,40357
352,40605
353,40607
354,40632
355,40673
356,40609
357,40586
358,40704
359,40609
360,40684
361,40585
362,40652
363,40595
364,40475
365,40616
366,40583
367,40681
368,40594
369,40696
370,40598
371,40382
372,40598
373,40652
374,40587
375,40656
376,40602
377,40632
378,40505
379,40493
380,40528
381,40588
382,40610
383,40676
384,40597
385,40667
386,40576
387,40583
388,40582
389,40651
390,40603
391,40687
392,40624
393,40643
394,40601
395,40663
396,40602
397,40674
398,40535
399,40643
400,40665
401,40602
402,40610
403,40628
404,40663
405,40599
406,40655
407,40614
408,40622
409,40560
410,40593
411,40663
412,40606
413,40453
414,40676
415,40590
416,40553
417,40689
418,40476
419,40598
420,40675
421,40627
422,40680
423,40617
424,40668
425,40624
426,40681
427,40541
428,40658
429,40604
430,40655
431,40614
432,40664
433,40616
434,40545
435,40580
436,40603
437,40635
438,40607
439,40659
440,40616
441,40605
442,40686
443,40607
444,40692
445,40589
446,40645
447,40597
448,40575
449,40427
450,40519
451,40623
452,40662
453,40591
454,40613
455,40629
456,40674
457,40610
458,40558
459,40539
460,40654
461,40605
462,40650
463,40602
464,40631
465,40607
466,40592
467,40578
468,40616
469,40641
470,40630
471,40674
472,40542
473,40504
474,40604
475,40617
476,40654
477,40598
478,40601
479,40671
480,40595
481,40595
482,40673
483,40597
484,40566
485,40650
486,40575
487,40600
488,40633
489,40645
490,40639
491,40612
492,40638
493,40603
494,40504
495,40587
496,40634
497,40605
498,40614
499,40562
500,40706
501,40600
502,40661
503,40597
504,40703
505,40588
506,40679
507,40622
508,40589
509,40612
510,40612
511,40604
512,40551
513,40700
514,40595
515,40597
516,40699
517,40579
518,40550
519,40618
520,40613
521,40621
522,40611
523,40571
524,40598
525,40672
526,40611
527,40606
528,40702
529,40522
530,40691
531,40596
532,40680
533,40595
534,40679
535,40609
536,40616
537,40655
538,40628
539,40629
540,40685
541,40541
542,40692
543,40617
544,40669
545,40603
546,40689
547,40604
548,40600
549,40611
550,40693
551,40594
552,40655
553,40637
554,40566
555,40591
556,40618
557,40621
558,40631
559,40603
560,40601
561,40600
562,40697
563,40612
564,40611
565,40673
566,40628
567,40610
568,40696
569,40625
570,40693
571,40604
572,40691
573,40558
574,40685
575,40628
576,40630
577,40606
578,40577
579,40661
580,40611
581,40655
582,40596
583,40645
584,40682
585,40623
586,40516
587,40676
588,40461
589,40657
590,40616
591,40512
592,40557
593,40665
594,40598
595,40585
596,40662
597,40506
598,40412
599,40601
600,40671
601,40607
602,40627
603,40576
604,40599
605,40550
606,40667
607,40616
608,40605
609,40676
610,40577
611,40553
612,40547
613,40615
614,40625
615,40544
616,40616
617,40613
618,40679
619,40614
620,40673
621,40628
622,40681
623,40643
624,40587
625,40644
626,40622
627,40674
628,40612
629,40588
630,40652
631,40606
632,40669
633,40647
634,40670
635,40551
636,40618
637,40672
638,40468
639,40510
640,40581
641,40628
642,40623
643,40630
644,40588
645,40602
646,40705
647,40555
648,40700
649,40599
650,40652
651,40698
652,40632
653,40711
654,40607
655,40592
656,40709
657,40607
658,40671
659,40587
660,40541
661,40604
662,40669
663,40595
664,40597
665,40602
666,40552
667,40596
668,40659
669,40629
670,40689
671,40594
672,40649
673,40622
674,40673
675,40612
676,40615
677,40605
678,40598
679,40670
680,40624
681,40690
682,40619
683,40693
684,40617
685,40607
686,40601
687,40636
688,40610
689,40680
690,40628
691,40620
692,40657
693,40626
694,40602
695,40685
696,40565
697,40619
698,40617
699,40568
700,40492
701,40615
702,40581
703,40599
704,40586
705,40564
706,40589
707,40616
708,40666
709,40628
710,40683
711,40627
712,40670
713,40600
714,40660
715,40634
716,40638
717,40614
718,40682
719,40631
720,40682
721,40621
722,40672
723,40632
724,40651
725,40609
726,40678
727,40614
728,40642
729,40629
730,40615
731,40598
732,40581
733,40597
734,40642
735,40588
736,40697
737,40604
738,40598
739,40611
740,40568
741,40630
742,40576
743,40651
744,40611
745,40657
746,40602
747,40626
748,40627
749,40689
750,40587
751,40606
752,40689
753,40599
754,40632
755,40617
756,40566
757,40583
758,40650
759,40642
760,40663
761,40612
762,40616
763,40698
764,40625
765,40629
766,40599
767,40620
768,40604
769,40551
770,40656
771,40604
772,40580
773,40660
774,40611
775,40672
776,40634
777,40683
778,40592
779,40578
780,40596
781,40516
782,40575
783,40657
784,40590
785,40707
786,40613
787,40622
788,40647
789,40592
790,40665
791,40586
792,40590
793,40660
794,40554
795,40606
796,40588
797,40567
798,40557
799,40621
800,40647
801,40621
802,40641
803,40574
804,40679
805,40589
806,40627
807,40663
808,40625
809,40578
810,40559
811,40691
812,40591
813,40666
814,40641
815,40639
816,40551
817,40615
818,40532
819,40597
820,40689
821,40601
822,40493
823,40613
824,40568
825,40534
826,40681
827,40624
828,40598
829,40599
830,40657
831,40607
832,40583
833,40678
834,40595
835,40600
836,40664
837,40591
838,40536
839,40600
840,40615
841,40629
842,40595
843,40626
844,40678
845,40599
846,40687
847,40603
848,40626
849,40697
850,40622
851,40686
852,40584
853,40602
854,40629
855,40614
856,40598
857,40683
858,40636
859,40605
860,40619
861,40542
862,40402
863,40636
864,40652
865,40654
866,40585
867,40638
868,40524
869,40606
870,40634
871,40607
872,40597
873,40695
874,40588
875,40607
876,40613
877,40665
878,40578
879,40685
880,40609
881,40644
882,40592
883,40547
884,40621
885,40647
886,40590
887,40671
888,40606
889,40609
890,40622
891,40612
892,40566
893,40595
894,40559
895,40685
896,40606
897,40576
898,40702
899,40608
900,40505
901,40629
902,40594
903,40587
904,40603
905,40516
906,40600
907,40673
908,40632
909,40628
910,40678
911,40623
912,40676
913,40607
914,40652
915,40619
916,40707
917,40612
918,40606
919,40694
920,40611
921,40601
922,40678
923,40460
924,40596
925,40596
926,40607
927,40549
928,40643
929,40591
930,40486
931,40557
932,40538
933,40612
934,40595
935,40693
936,40616
937,40661
938,40508
939,40680
940,40585
941,40698
942,40634
943,40597
944,40659
945,40594
946,40651
947,40612
948,40674
949,40548
950,40605
951,40685
952,40620
953,40503
954,40657
955,40556
956,40593
957,40694
958,40582
959,40677
960,40620
961,40639
962,40607
963,40679
964,40615
965,40682
966,40619
967,40690
968,40610
969,40586
970,40698
971,40601
972,40665
973,40598
974,40682
975,40635
976,40689
977,40619
978,40700
979,40608
980,40651
981,40581
982,40701
983,40629
984,40671
985,40520
986,40596
987,40581
988,40647
989,40648
990,40604
991,40644
992,40573
993,40638
994,40609
995,40603
996,40562
997,40692
998,40623
999,40593
1000,40686
