run_number,duration_ms
1,27844
2,27039
3,27132
4,27490
5,27201
6,28046
7,27651
8,27312
9,27601
10,26820
11,27377
12,27294
13,28185
14,28408
15,27307
16,26958
17,26369
18,25679
19,26895
20,26133
21,27349
22,27395
23,27365
24,27245
25,27011
26,27854
27,27282
28,27671
29,28185
30,27910
31,27352
32,27085
33,27141
34,26744
35,26937
36,26957
37,27378
38,27879
39,26723
40,26998
41,27143
42,27155
43,26520
44,27585
45,27165
46,26328
47,26985
48,26864
49,27565
50,26921
51,27386
52,27324
53,27599
54,27006
55,26524
56,26621
57,27588
58,27799
59,27157
60,26417
61,26385
62,26678
63,27067
64,27029
65,26540
66,27153
67,28209
68,27129
69,26064
70,27297
71,27251
72,27316
73,27683
74,26423
75,27202
76,26315
77,27304
78,27505
79,27797
80,26828
81,26253
82,27755
83,28007
84,27123
85,27224
86,27196
87,27082
88,28090
89,26443
90,27235
91,27399
92,27548
93,27639
94,26807
95,26359
96,27359
97,26898
98,26718
99,26212
100,27546
101,27859
102,27239
103,27007
104,26974
105,27280
106,27339
107,27145
108,27361
109,26766
110,27706
111,26629
112,27461
113,26964
114,27193
115,26843
116,27138
117,27110
118,27308
119,27066
120,27441
121,27134
122,27725
123,27092
124,27385
125,27119
126,27433
127,27724
128,27402
129,26915
130,28027
131,27761
132,26768
133,27522
134,27524
135,27065
136,26669
137,27119
138,26466
139,27869
140,27080
141,27188
142,27354
143,27010
144,28351
145,27420
146,27965
147,27695
148,27701
149,27093
150,26217
151,27129
152,26807
153,26743
154,27160
155,26996
156,27099
157,27523
158,26906
159,25960
160,26799
161,27889
162,27200
163,27035
164,27249
165,27903
166,27737
167,27336
168,27424
169,27314
170,28127
171,26498
172,27229
173,27074
174,26572
175,27574
176,26877
177,27097
178,26151
179,26531
180,27047
181,26434
182,26878
183,27126
184,25863
185,26239
186,26468
187,26897
188,27630
189,27412
190,26838
191,27688
192,26050
193,27114
194,27748
195,28023
196,27332
197,27444
198,27642
199,27585
200,26776
201,27602
202,27122
203,27473
204,27628
205,26931
206,26634
207,27274
208,26710
209,26328
210,27511
211,27436
212,26974
213,27131
214,26616
215,27160
216,27052
217,26938
218,27788
219,27247
220,27149
221,27284
222,27099
223,26933
224,27257
225,27476
226,27364
227,26935
228,27564
229,27705
230,28056
231,26687
232,27787
233,27523
234,27295
235,27644
236,27478
237,26794
238,27761
239,27209
240,28117
241,26369
242,27311
243,27121
244,27346
245,27243
246,27235
247,27146
248,27885
249,27195
250,26824
251,27643
252,26852
253,27106
254,28242
255,27440
256,26646
257,27527
258,27519
259,27156
260,26727
261,26683
262,27390
263,27565
264,27394
265,26382
266,26775
267,27980
268,27076
269,27152
270,26677
271,27223
272,28080
273,27235
274,27014
275,27462
276,26978
277,26650
278,26801
279,26337
280,27140
281,26918
282,27121
283,26158
284,26859
285,27689
286,26962
287,27430
288,26948
289,27181
290,26597
291,27147
292,27413
293,27608
