run_number,duration_ms
1,27106
2,26205
3,27654
4,27114
5,27841
6,27026
7,26752
8,26867
9,27502
10,26951
11,27540
12,26804
13,27131
14,27177
15,26993
16,27291
17,27002
18,25928
19,27403
20,26984
21,27306
22,27708
23,27293
24,27600
25,27010
26,26731
27,27807
28,26869
29,27259
30,27160
31,27958
32,26482
33,27548
34,26890
35,27207
36,27080
37,27332
38,26799
39,26783
40,27673
41,26870
42,27302
43,27629
44,27316
45,27317
46,26456
47,28123
48,27436
49,26545
50,27133
51,26836
52,27033
53,27484
54,26543
55,27168
56,27673
57,26289
58,27918
59,27278
60,26936
61,27395
62,26350
63,27471
64,27391
65,26977
66,27217
67,28584
68,27201
69,28797
70,28267
71,26585
72,27063
73,27314
74,27727
75,26831
76,26771
77,27756
78,27989
79,27151
80,27139
81,26734
82,27688
83,27660
84,27232
85,27545
86,26780
87,27584
88,26821
89,26862
90,26923
91,27756
92,28105
93,27932
94,28019
95,27402
96,26731
97,26758
98,27355
99,27467
100,26363
101,27538
102,26904
103,26536
104,26165
105,26658
106,27712
107,27758
108,27026
109,26626
110,27508
111,27963
112,27221
113,27549
114,26472
115,27320
116,26926
117,27766
118,26686
119,28159
120,27761
121,27181
122,27938
123,27334
124,27201
125,27497
126,26436
127,27669
128,26716
129,28022
130,27178
131,27449
132,27492
133,26999
134,27260
135,27996
136,26119
137,27204
138,27289
139,26599
140,26903
141,26708
142,26334
143,26578
144,26713
145,27196
146,27223
147,27240
148,27452
149,27362
150,27375
151,27782
152,26325
153,26982
154,26530
155,27247
156,27281
157,26549
158,27689
159,27427
160,26861
161,26719
162,26459
163,27323
164,27218
165,27698
166,27383
167,26663
168,27523
169,25631
170,26394
171,26687
172,26293
173,27338
174,27843
175,26930
176,27810
177,27067
178,26385
179,27338
180,27008
181,26757
182,27889
183,27517
184,26207
185,27074
186,26635
187,27968
188,27037
189,26436
190,27466
191,26645
192,26441
193,26804
194,27445
195,28357
196,27273
197,27269
198,27332
199,26552
200,27222
201,26278
202,28063
203,28021
204,27189
205,27203
206,27089
207,27189
208,26792
209,27292
210,27389
211,27518
212,27497
213,27827
214,27929
215,27782
216,27508
217,27763
218,26994
219,26682
220,27310
221,26966
222,27472
223,27343
224,27059
225,26688
226,26662
227,27649
228,27546
229,26634
230,26284
231,27037
232,27436
233,26934
234,27001
235,27641
236,27389
237,27576
238,27029
239,27594
240,27289
241,27399
242,26733
243,26674
244,27762
245,28157
246,27258
247,27901
248,26808
249,27488
250,26387
251,27091
252,26762
253,26670
254,27363
255,28045
256,27037
257,26883
258,26920
259,27211
260,27836
261,27895
262,26788
263,26513
264,27429
265,27579
266,27380
267,27877
268,27432
269,27392
270,27841
271,27416
272,27587
273,26151
274,26431
275,26482
276,27366
277,27227
278,26682
279,27386
280,27216
281,26600
282,27405
283,27415
284,26920
285,27425
286,27066
287,26850
288,27529
289,27048
290,28087
291,27240
292,28041
293,28140
294,28097
295,26618
296,27774
297,27116
298,27502
299,27035
300,26465
301,27433
302,27153
303,26091
304,26425
305,27600
306,27319
307,27500
308,26850
309,26729
310,26781
311,26680
312,27045
313,26851
314,27760
315,28305
316,27248
317,27753
318,26851
319,27978
320,27205
321,27330
322,27332
323,27416
324,27772
325,27094
326,27609
327,26536
328,26715
329,26972
330,27239
331,26457
332,26960
333,27260
334,27756
335,26548
336,27309
337,27279
338,27772
339,26841
340,27773
341,26447
342,26841
343,27239
344,26763
345,27057
346,27278
347,27773
348,27523
349,27388
350,27759
351,27302
352,27373
353,27420
354,26490
355,27498
356,27035
357,28028
358,27311
359,27049
360,26706
361,26705
362,27291
363,26667
364,26914
365,27436
366,26888
367,27173
368,27789
369,26995
370,26830
371,25871
372,26577
373,27337
374,26720
375,27073
376,27052
377,26454
378,26847
379,27221
380,27446
381,27059
382,26904
383,27846
384,27747
385,26870
386,27050
387,27155
388,26517
389,27801
390,27378
391,26958
392,27208
393,28096
394,27342
395,27400
396,26131
397,26978
398,27347
399,26836
400,26514
401,27298
402,26734
403,27465
404,26346
405,26543
406,27484
407,28143
408,26656
409,27429
410,27507
411,26714
412,27520
413,26616
414,27182
415,26530
416,27853
417,27223
418,26994
419,27350
420,27611
421,27508
422,27138
423,27648
424,26394
425,27254
426,27690
427,27296
428,27829
429,26319
430,27885
431,27731
432,26987
433,26525
434,27502
435,27483
436,26846
437,26972
438,26858
439,26897
440,26838
441,27186
442,27177
443,26745
444,27556
445,27839
446,28206
447,27828
448,26731
449,26925
450,26609
451,26677
452,27311
453,26659
454,27562
455,26313
456,27571
457,27087
458,27443
459,27351
460,27315
461,26991
462,26222
463,26902
464,26930
465,27341
466,27085
467,27834
468,27597
469,26764
470,27946
471,27440
472,27285
473,27070
474,27494
475,27145
476,26552
477,28105
478,27213
479,27436
480,26595
481,27104
482,27175
483,28017
484,27014
485,27179
486,27253
487,26781
488,27377
489,26413
490,27272
491,26971
492,27295
493,27938
494,27889
495,27704
496,26715
497,26968
498,27376
499,27059
500,27264
501,27805
502,27189
503,26906
504,27066
505,27239
506,27344
507,27059
508,26369
509,26141
510,26530
511,27311
512,27899
513,27900
514,27441
515,27868
516,26993
517,28358
518,26842
519,27004
520,26417
521,26903
522,26669
523,26732
524,26995
525,27178
526,27673
527,26453
528,27802
529,27210
530,27881
531,28067
532,26528
533,27607
534,27680
535,27342
536,26491
537,27297
538,26843
539,27282
540,26847
541,27202
542,26319
543,26888
544,26816
545,26562
546,28305
547,26965
548,27527
549,26819
550,27804
551,27492
552,27548
553,28006
554,27697
555,28178
556,27913
557,27227
558,28318
559,27240
560,27721
561,27899
562,27155
563,26832
564,26732
565,26585
566,26944
567,27005
568,27438
569,27704
570,27249
571,27296
572,27226
573,27659
574,27154
575,28733
576,27538
577,26688
578,26949
579,27267
580,26190
581,28268
582,26460
583,27170
584,27094
585,27914
586,26610
587,27630
588,27021
589,27609
590,26915
591,27080
592,26482
593,27039
594,27456
595,27841
596,26845
597,26583
598,27134
599,26812
600,26058
601,27778
602,27529
603,26653
604,26673
605,27548
606,26305
607,26004
608,27649
609,27575
610,27154
611,27676
612,26989
613,27213
614,27575
615,27305
616,26351
617,27280
618,27574
619,27467
620,27660
621,27214
622,27345
623,27182
624,27201
625,27181
626,26432
627,27690
628,27513
629,26586
630,26605
631,27206
632,27783
633,26523
634,27255
635,27154
636,27071
637,26300
638,27069
639,27018
640,27340
641,27204
642,27158
643,27836
644,27343
645,27422
646,27102
647,26999
648,27581
649,26377
650,27875
651,26949
652,27160
653,27194
654,27403
655,26920
656,26201
657,27013
658,28511
659,26370
660,26873
661,26898
662,27267
663,26884
664,27351
665,26630
666,27379
667,26609
668,26937
669,28157
670,27543
671,26315
672,27586
673,26639
674,27322
675,26928
676,26547
677,27942
678,27105
679,27962
680,27325
681,27420
682,27019
683,27178
684,27235
685,26692
686,26604
687,27581
688,28194
689,26952
690,27074
691,27212
692,26727
693,27128
694,28045
695,27102
696,27072
697,27362
698,27200
699,27135
700,26735
701,28399
702,26976
703,27939
704,27399
705,27141
706,26997
707,27358
708,26635
709,27234
710,26921
